dns.id	ip.src	ip.dst	frame.time_epoch	dns.qry.type	dns.qry.name.len	dns.qry.name	frame.len	dns.resp.ttl	dns.cname	dns.a	dns.aaaa	dns.txt
"0x0000e0b8"	"203.219.233.150"	"187.124.15.148"	"1505818664.553034000"	"16"	"237"	"3.1o19sr00no9563s5p356966qr8prq1q8r177q7s9so7s45n9r623ooo9312q2p2.o5sp8r741p635393648s2q125s12qrn970o3ps5p26o573o2n30noo21sr2rroq.s5014n9r3rn99o2r4773n309q0oo002o92rs1nr49q15pq.47o68097q1pqs929r3597s0qq9n1o05qnp272105.i.06.s.sophosxl.net"	"301"					
"0x00003f97"	"187.124.15.148"	"187.124.53.184"	"1505818664.553120000"	"16"	"237"	"3.1o19sr00no9563s5p356966qr8prq1q8r177q7s9so7s45n9r623ooo9312q2p2.o5sp8r741p635393648s2q125s12qrn970o3ps5p26o573o2n30noo21sr2rroq.s5014n9r3rn99o2r4773n309q0oo002o92rs1nr49q15pq.47o68097q1pqs929r3597s0qq9n1o05qnp272105.i.06.s.sophosxl.net"	"301"					
"0x0000afcb"	"203.182.170.159"	"187.124.15.148"	"1505818664.556397000"	"16"	"34"	"36.129.192.54.ip.04.s.sophosxl.net"	"111"	"10"				""
"0x000067e5"	"187.124.15.148"	"187.124.21.255"	"1505818664.556522000"	"16"	"34"	"36.129.192.54.ip.04.s.sophosxl.net"	"111"	"10"				""
"0x0000bb53"	"203.182.170.248"	"187.124.15.148"	"1505818664.556591000"	"16"	"37"	"fpevcg.bjacntr.se.m.04.s.sophosxl.net"	"141"	"10"				"w u h 8 0	#f7a4afdf26fedd16"
"0x00006a5c"	"187.124.15.148"	"187.124.21.255"	"1505818664.556722000"	"16"	"37"	"fpevcg.bjacntr.se.m.04.s.sophosxl.net"	"141"	"10"				"w u h 8 0	#f7a4afdf26fedd16"
"0x00008195"	"187.124.15.148"	"187.124.61.156"	"1505818664.562239000"	"1"	"13"	"discordapp.io"	"93"	"282"		"127.0.0.1"		
"0x0000a8c1"	"187.124.15.148"	"187.124.61.156"	"1505818664.562793000"	"28"	"13"	"discordapp.io"	"139"	"260"				
"0x0000509f"	"187.124.15.148"	"187.124.61.156"	"1505818664.564039000"	"1"	"13"	"discordapp.io"	"93"	"282"		"127.0.0.1"		
"0x00003065"	"203.182.164.218"	"187.124.15.148"	"1505818664.566216000"	"16"	"34"	"178.40.223.23.ip.04.s.sophosxl.net"	"111"	"10"				""
